Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Azerbaijan,80,5.21,1.02,0.94,0.64,0.37,0.16,0.08,2
Pakistan,81,5.19,0.6,0.41,0.51,0.12,0.1,0.34,3.11
Jordan,82,5.19,0.9,1.05,0.7,0.41,0.14,0.11,1.88
Montenegro,82,5.19,0.97,0.91,0.73,0.18,0.14,0.16,2.1
China,84,5.14,0.89,0.95,0.82,0.52,0.03,0.08,1.86
Zambia,85,5.13,0.47,0.92,0.3,0.49,0.12,0.2,2.63
Romania,86,5.12,1.04,0.89,0.77,0.35,0.01,0.14,1.93
Serbia,87,5.12,0.92,1.01,0.75,0.2,0.03,0.19,2.03
Portugal,88,5.1,1.16,1.14,0.88,0.51,0.01,0.14,1.26
Latvia,89,5.1,1.11,1.1,0.72,0.3,0.06,0.18,1.62
Philippines,90,5.07,0.71,1.04,0.58,0.63,0.12,0.25,1.75
Somaliland region,91,5.06,0.19,0.95,0.44,0.47,0.4,0.5,2.11
Morocco,92,5.01,0.73,0.64,0.61,0.42,0.09,0.07,2.45
Macedonia,93,5.01,0.92,1,0.74,0.33,0.05,0.22,1.74
Mozambique,94,4.97,0.08,1.03,0.09,0.34,0.16,0.22,3.05
Albania,95,4.96,0.88,0.8,0.81,0.36,0.06,0.14,1.9
Bosnia and Herzegovina,96,4.95,0.83,0.92,0.79,0.09,0,0.25,2.06
Lesotho,97,4.9,0.38,1.04,0.08,0.32,0.13,0.16,2.8
Dominican Republic,98,4.89,0.9,1.17,0.67,0.58,0.14,0.22,1.21
Laos,99,4.88,0.59,0.74,0.55,0.6,0.24,0.42,1.74
Mongolia,100,4.87,0.83,1.3,0.6,0.44,0.03,0.33,1.35
Swaziland,101,4.87,0.71,1.07,0.08,0.31,0.03,0.18,2.49
Greece,102,4.86,1.15,0.93,0.88,0.08,0.01,0,1.8
Lebanon,103,4.84,1.03,0.8,0.84,0.34,0.05,0.22,1.57
Hungary,104,4.8,1.12,1.2,0.76,0.32,0.03,0.13,1.24
Honduras,105,4.79,0.6,0.95,0.7,0.4,0.07,0.23,1.84
Tajikistan,106,4.79,0.39,0.86,0.57,0.47,0.15,0.23,2.11
Tunisia,107,4.74,0.88,0.6,0.74,0.26,0.06,0.06,2.12
Palestinian Territories,108,4.72,0.6,0.93,0.66,0.24,0.13,0.11,2.04
Bangladesh,109,4.69,0.4,0.43,0.6,0.41,0.13,0.21,2.52
Iran,110,4.69,1.01,0.54,0.7,0.3,0.06,0.38,1.69
Ukraine,111,4.68,0.8,1.2,0.67,0.25,0.03,0.15,1.57
Iraq,112,4.68,0.99,0.82,0.6,0,0.14,0.18,1.95
South Africa,113,4.64,0.92,1.18,0.28,0.33,0.09,0.12,1.72
Ghana,114,4.63,0.55,0.68,0.4,0.42,0.04,0.23,2.31
Zimbabwe,115,4.61,0.27,1.03,0.33,0.26,0.08,0.19,2.44
Liberia,116,4.57,0.07,0.79,0.34,0.29,0.06,0.24,2.78
India,117,4.57,0.64,0.38,0.52,0.4,0.08,0.26,2.28
Sudan,118,4.55,0.52,1.01,0.37,0.1,0.15,0.19,2.21
Haiti,119,4.52,0.27,0.74,0.39,0.24,0.17,0.46,2.24
Congo (Kinshasa),120,4.52,0,1,0.1,0.23,0.08,0.25,2.87
Nepal,121,4.51,0.36,0.86,0.57,0.38,0.06,0.32,1.96
Ethiopia,122,4.51,0.19,0.6,0.44,0.43,0.15,0.24,2.45
Sierra Leone,123,4.51,0.33,0.96,0,0.41,0.09,0.21,2.51
Mauritania,124,4.44,0.45,0.87,0.36,0.24,0.17,0.22,2.12
Kenya,125,4.42,0.36,1,0.41,0.42,0.06,0.38,1.79
Djibouti,126,4.37,0.44,0.59,0.36,0.46,0.28,0.18,2.05
Armenia,127,4.35,0.77,0.78,0.73,0.2,0.04,0.08,1.76
Botswana,128,4.33,0.99,1.1,0.05,0.49,0.12,0.1,1.46
Myanmar,129,4.31,0.27,0.71,0.48,0.44,0.19,0.8,1.42
Georgia,130,4.3,0.74,0.39,0.73,0.41,0.38,0.06,1.6
Malawi,131,4.29,0.02,0.41,0.23,0.43,0.07,0.33,2.81
Sri Lanka,132,4.27,0.84,1.02,0.71,0.54,0.09,0.41,0.67
Cameroon,133,4.25,0.42,0.89,0.23,0.49,0.06,0.21,1.95
Bulgaria,134,4.22,1.01,1.11,0.77,0.31,0.01,0.12,0.9
Egypt,135,4.19,0.88,0.75,0.62,0.17,0.06,0.11,1.6
Yemen,136,4.08,0.55,0.68,0.4,0.36,0.08,0.09,1.92
Angola,137,4.03,0.76,0.86,0.17,0.1,0.07,0.12,1.95
Mali,138,4,0.26,1.04,0.21,0.39,0.12,0.19,1.79
Congo (Brazzaville),139,3.99,0.68,0.66,0.31,0.41,0.12,0.12,1.68
Comoros,140,3.96,0.24,0.79,0.36,0.23,0.2,0.17,1.96
Uganda,141,3.93,0.21,1.13,0.34,0.46,0.07,0.29,1.43
Senegal,142,3.9,0.36,0.98,0.44,0.37,0.11,0.21,1.44
Gabon,143,3.9,1.06,0.91,0.43,0.32,0.11,0.07,1
Niger,144,3.85,0.07,0.77,0.3,0.48,0.16,0.19,1.88
Cambodia,145,3.82,0.46,0.63,0.61,0.66,0.07,0.4,0.98
Tanzania,146,3.78,0.29,1,0.38,0.33,0.06,0.34,1.38
Madagascar,147,3.68,0.21,0.67,0.47,0.19,0.08,0.21,1.85
Central African Republic,148,3.68,0.08,0,0.07,0.49,0.08,0.24,2.72
Chad,149,3.67,0.34,0.76,0.15,0.24,0.05,0.18,1.94
Guinea,150,3.66,0.17,0.46,0.24,0.38,0.12,0.29,1.99
Ivory Coast,151,3.66,0.47,0.77,0.15,0.47,0.18,0.2,1.42
Burkina Faso,152,3.59,0.26,0.85,0.27,0.39,0.13,0.22,1.46
Afghanistan,153,3.58,0.32,0.3,0.3,0.23,0.1,0.37,1.95
Rwanda,154,3.47,0.22,0.77,0.43,0.59,0.55,0.23,0.67
Benin,155,3.34,0.29,0.35,0.32,0.48,0.08,0.18,1.63
Syria,156,3.01,0.66,0.47,0.72,0.16,0.19,0.47,0.33
Burundi,157,2.91,0.02,0.42,0.22,0.12,0.1,0.2,1.83
Togo,158,2.84,0.21,0.14,0.28,0.36,0.11,0.17,1.57
